vehicle_make,vehicle_model,vehicle_year,vehicle_vin,vehicle_color,vehicle_license_plate
Pontiac,Firebird,1967,1G4CU541614152629,Teal,DEF789
Chrysler,Sebring,2006,KNDPB3A28D7610347,Crimson,DEF789
Ford,Ranger,2008,WBANA53524B071098,Crimson,DEF789
Buick,Enclave,2009,WBAVC93537K749895,Red,DEF789
GMC,Suburban 2500,1997,3D4PH9FG8BT721725,Mauv,DEF789
Bugatti,Veyron,2011,TRUWT28N241491562,Teal,DEF789
Mitsubishi,Eclipse,1998,WAUXL58E25A558868,Indigo,ABC123
Eagle,Vision,1995,1HGCP2E4XAA279146,Aquamarine,DEF789
Ford,Contour,1999,SCFAD06D69G800908,Puce,DEF789
Isuzu,Trooper,1997,1FTEW1C87FF838508,Purple,XYZ456
Chevrolet,Camaro,2011,WA1VGAFP6EA055432,Violet,ABC123
Mercedes-Benz,G-Class,2010,2C3CDYCJ6DH727329,Pink,ABC123
Volkswagen,rio,2002,1D7RV1CT0BS135805,Fuscia,DEF789
Pontiac,Firebird,1988,WAUDGBFLXCA508790,Fuscia,ABC123
Maserati,Quattroporte,2010,JN1CV6AP3AM998039,Goldenrod,DEF789
Chevrolet,Suburban 1500,2001,3GTXCYEJ3AG114206,Crimson,ABC123
Chrysler,Town & Country,1993,1G6DA1ED2B0177977,Green,XYZ456
Mitsubishi,Eclipse,2000,WBANW53548C036709,Puce,XYZ456
Mercedes-Benz,S-Class,2006,1FTEW1E84AF429369,Aquamarine,ABC123
Audi,Q7,2010,1N6AA0CC9CN463119,Maroon,DEF789
GMC,Savana 3500,2012,YV1852AR3A1611689,Violet,XYZ456
Plymouth,Laser,1989,1D4PT5GK9BW096899,Green,DEF789
Cadillac,DeVille,2005,5J8TB4H3XGL260977,Goldenrod,XYZ456
Oldsmobile,88,1995,JTDKN3DU3B0459079,Khaki,ABC123
Dodge,Ram Van 2500,1996,1GYS4BKJ7FR291366,Pink,DEF789
GMC,Savana,2006,JN8BS1MW0EM269515,Turquoise,DEF789
Dodge,Caliber,2007,1FTWF3D51AE189548,Green,XYZ456
Chrysler,New Yorker,1995,SALFP2BG7FH233839,Puce,DEF789
Buick,Regal,2011,1J4RR4GG8BC967068,Mauv,ABC123
Mercedes-Benz,SLK-Class,2002,JA32X8HW3DU575024,Turquoise,ABC123
Lincoln,Blackwood,2002,WBAWB33507P378427,Goldenrod,ABC123
Mazda,MPV,2003,JTJBC1BA4B2245464,Purple,XYZ456
Mitsubishi,Pajero,1992,1FTFW1E84AK420425,Maroon,DEF789
Hyundai,Elantra,2007,KNADM5A35E6184039,Red,XYZ456
Chrysler,Town & Country,1992,5UXFG83559L865794,Red,DEF789
Buick,Century,1990,SCFEBBCF6CG657488,Yellow,XYZ456
Lotus,Exige,2009,WAUDG74F25N277406,Teal,DEF789
